tt0499549,Avatar,1139497,7.8
tt1201607,Harry Potter and the Deathly Hallows,786289,8.1
tt0304141,Harry Potter and the Prisoner of Azkaban,567048,7.9
tt0330373,Harry Potter and the Goblet of Fire,562719,7.7
tt2310332,The Hobbit The Battle of the Five Armies,485059,7.4
tt0232500,The Fast and the Furious,357076,6.8
tt1905041,Fast and Furious 6,374763,7.0
tt0421715,The Curious Case of Benjamin Button,6080,7.8
tt4154796,Avengers Endgame,888334,8.4
tt0468569,The Dark Knight,367366,9.0
tt3498820,Captain America Civil War,689108,7.8
tt1375666,Inception,2124584,8.8
tt0993846,The Wolf of Wall Street,1231487,8.2
tt0454921,The Pursuit of Happyness,464702,8.0
tt1727824,Bohemian Rhapsody,474288,7.9
tt1853728,Django Unchained,1402021,8.4
tt2357129,Jobs,94924,6.0
tt3361792,Tolkien,35358,6.8
tt0332452,Troy,497900,7.2
tt1431045,Deadpool,926791,8.0
